,id,brand,categories,dateAdded,dateUpdated,ean,keys,manufacturer,manufacturerNumber,name,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,Content_ID,reviews.numHelpful,rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,upc,User_ID,rating_per_user
264,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-06-02T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:47:00.000Z,False,True,79904767.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=30,I love this Olay product and always tell my friends to get it! it has made my skin feel like velvet! This review was collected as part of a promotion.,Luxiorious!,,,An anonymous customer,75609007408,805,421
303,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-06-01T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:47:00.000Z,False,True,79880201.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=31,The cream feels very luxurious when applying. Keeps my very dry thin skin moist and more pliant. This review was collected as part of a promotion.,luxurious feel,,,An anonymous customer,75609007408,805,421
355,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-05-26T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,79645273.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=23,This is my all time favorite product. Regenerist Deep Hydration Regenerating Cream. It's all about finding the right product and I am so happy I discovered this one. Fantastic deep hydration. I love it. This review was collected as part of a promotion.,My Miracle Product,,,An anonymous customer,75609007408,805,421
407,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-01-20T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,100243023.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=21,"I LOVE this product, but for some reason I'm not able to find it in some of the stores around where I live. Is this product being discontinued I REALLY hope not.",Rebecca,,,Rebecca,75609007408,13356,6
412,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-05-31T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,79851327.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=19,"SINCE I STARTED USING THIS CREAM, THE SKIN ON MY FACE IS SO SOFT AND IT SHINES. I AM SO GLAD THAT I FOUND THIS PRODUCT.I AVE NEVER HAD ANY IRRITATION WITH THIS CREAM. I RECOMMEND THIS CREAM TO EVERYONE. OIL OF OLAY HAS SO MANY PRODUCTS THAT I USE AND IT IS A NAME THAT CAN BE TRUSTED. This review was collected as part of a promotion.",THIS PRODUCT WORKS GREAT,,,An anonymous customer,75609007408,805,421
424,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-05-26T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,79647066.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=18,I use this product each morning immediately after getting up and washing my face. The result is immediate. In the morning my skin looks dry and tight. After smoothing on the Regenerist Deep Hydration Regenerating Cream it looks moist and plump. The lines are softened and my face feels soft and moist to the touch. This review was collected as part of a promotion.,This product produces great results.,,,An anonymous customer,75609007408,805,421
455,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-06-21T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,115398372.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=17,"Feeling a difference with a one time use sample, WOW! Great Product. This review was collected as part of a promotion.",Great Product,,,An anonymous customer,75609007408,805,421
492,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-06-08T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,113933426.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=14,Revitalizing hydration complimented by both a lovely and light odor and touch blew me away. The product's substantial results it promised came true: I'm sold,It's the real deal! Stop where you are!,,,An anonymous customer,75609007408,805,421
594,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-08-21T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,125128172.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=10,I would definitely recommend it. Great product. Absolutely amazing on your skin.,Great,,,An anonymous customer,75609007408,805,421
612,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-09-09T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,127307171.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=9,Awesome product must have!!!!!!!!!!!!!!!!!!!!!!!!!!!,Amazing product,,,An anonymous customer,75609007408,805,421
624,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-06-02T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,79905473.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=6,"I have been using Regenerist Deep Hydration Regenerating Cream for 5 years, since I was 36 yrs. old, along with some of the other oil of olay products and i'm telling you ladies, it has done wonderful things for my face, my complexion and elasticity of my face. I have no wrincles at all, my face has elasticity and smoothnes. At 41 yrs. of age people thinks I'm 27-32 years old. They jaw drops when I reveal my age to them and they see my 18 and 16 year old daughters with me calling me mom. Thank you Oil of Olay...not even Sephora can make me look this young. This review was collected as part of a promotion.",This product has done wonders for my complexion!!,,,An anonymous customer,75609007408,805,421
630,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-09-24T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,128698918.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=8,Love it this product is great and I plan on buying it over and over again. I recommend it to all skin types.,Great product,,,An anonymous customer,75609007408,805,421
653,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-11-24T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,135897267.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=5,Went on smooth I feel like I have a new skin after showering I applied on my face and throat areas,Went on smooth,,,An anonymous customer,75609007408,805,421
720,AV1YGDqsGV-KLJ3adc-O,Windex,"Household Essentials,Cleaning Supplies,Glass Cleaners,Health & Household,Household Supplies,Household Cleaning,Featured Brands,Home And Storage & Org,Thanksgathering,All-purpose Cleaners,Target Restock,Food & Grocery,Glass & Window",2017-07-18T23:46:09Z,2018-02-05T08:34:58Z,19800001285,"019800001285,windex/12972711,windexoriginalglasscleanerrefill676oz2liter/b00192ex24,windexoriginalglasscleanerrefill676oz2liter/b000v9lapy,windexoriginalglasscleanerrefill676oz2liter/b000v9qn1a,windexoriginalglasscleanerrefill676oz2liter/001309400,windexoriginalglasscleanerrefill676oz2liter/1309400,windexoriginalglasscleanerrefill676oz2liter/03249461000p,0019800001285",Windex,12972711,Windex Original Glass Cleaner Refill 67.6oz (2 Liter),2013-08-01T00:00:00.000Z,2017-09-25T16:58:52Z,"2017-09-18T03:50:00.000Z,2017-07-12T20:04:00.000Z,2017-07-19T03:28:00.000Z,2017-07-09T07:06:00.000Z,2017-07-19T23:58:00.000Z,2017-07-14T21:02:00.000Z",False,False,22300250.0,,1,"https://www.walmart.com/reviews/product/11027259?limit=20&sort=relevancy&page=5,https://www.walmart.com/reviews/product/11027259?limit=20&sort=relevancy&page=6","I used all windex products for years. Now all the cleaners , not just windex, leave a smeary residue. I have tried newspaper, unprint newspaper for packing and many types of cleaning cloths, as well as paper towels. I noticed this happening about 2 years ago. What has happened to the formula.",Glass cleaner not working like they did to a few years ago,,,Jill,19800001285,7281,7
